anonymised_clientnum,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag_Binary
022e52f0a251431f954db620fd0c87ac3c523c60cc59804596b24679bd64bd7e,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777.0,11914.0,1.335,1144.0,42,1.625,0.061,0
2731de4ed9ecb2a3ab828448bfda6137e5c7571e1f7576bebe7218c42dfcdb2e,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864.0,7392.0,1.541,1291.0,33,3.714,0.105,0
75dac624c2bbdb15b16abc0350820bcf598c012a76b102939ee9d2e3fb455d77,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0.0,3418.0,2.594,1887.0,20,2.333,0.0,0
1aaada0cd1f7dc23d83a171beec9f398cfac1471841843e9ed3a99710b53819e,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517.0,796.0,1.405,1171.0,20,2.333,0.76,0
1811f55b3210153f77e41ceceb61cc181d2edc4e65947e5fd29b2e59fda67e5e,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0.0,4716.0,2.175,816.0,28,2.5,0.0,0
37d64123a22583135b96076a09db9879660f9e5ce49f7cebce5d7c413ee015fe,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247.0,2763.0,1.376,1088.0,24,0.846,0.311,0
79127a463e0655f2b976f36dc165e33911617c57e6670f40fca766aca39a627e,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264.0,32252.0,1.975,1330.0,31,0.722,0.066,0
d67cbcca8aaa617ac51fe55af8342293f52d01dd1ece55400a42c16d0fa0ac9c,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396.0,27685.0,2.204,1538.0,36,0.714,0.048,0
001226c7c389fe76c0feda404c7cd99905e1b3431567f151063aa7be076ea479,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517.0,19835.0,3.355,1350.0,24,1.182,0.113,0
dbc18fc5fdf156b300a0b03070210376d38ca80234cf00da5f47deb83e0f1eb1,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677.0,9979.0,1.524,1441.0,32,0.882,0.144,0
8e64cfe8900b2e580c33ba3178b6f4d0c7dd507345c226638dd380b27144a537,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467.0,5281.0,0.831,1201.0,42,0.68,0.217,0
a60a5e8690eea7c1cf3f9d1086e0cfbc97c9982fd31e4b1b055e65656a769163,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587.0,7508.0,1.433,1314.0,26,1.364,0.174,0
83ac7ab66d3f43496108234d08f552924afd781caa2225907cbce380bfe010f5,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0.0,11751.0,3.397,1539.0,17,3.25,0.0,0
1cfc4e59103c5ab23ef70b9a7c715a2158f3e42b1cd1c8ad0830bbdf88da26de,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666.0,6881.0,1.163,1311.0,33,2.0,0.195,0
d3b25569a93d3666ab1e8ef62b692fa30a43d9fcf8a3b292dee3583b780d7adf,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680.0,1756.0,1.19,1570.0,29,0.611,0.279,0
238296d6eb30c8e486ac3bd9b5e31edd1c0d8748ecc9cfb691c165dc7eabbb81,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972.0,3262.0,1.707,1348.0,27,1.7,0.23,0
1d20557b7ac58e4ecf3f7dec1dc633b124f51b79f56a4566feb95ec4f0ec11a3,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362.0,28005.0,1.708,1671.0,27,0.929,0.078,0
dde0aa365e597787de8e36697b08ca7a7c589ebe94c15a0a3364e3456127592c,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291.0,12244.0,0.653,1028.0,21,1.625,0.095,0
9cde9c90a4c9827dbb5ecb5247c160a7b63599d660a4bc06f17177fea64c6130,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517.0,676.0,1.831,1336.0,30,1.143,0.788,0
1d3f37c362bfeec410926d2d6131868581ce395e5296a343db118a5f88c96292,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157.0,13313.0,0.966,1207.0,21,0.909,0.08,0
169d529d434a12d19f5a76db40e4d4d61cf7b5d536a2886066f3a9a489fe02de,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800.0,19179.0,0.906,1178.0,27,0.929,0.086,0
bc93a852693088e62c0accb16e05b271ce772ddc1dc20db71364c4633ea0772b,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0.0,1438.3,1.047,692.0,16,0.6,0.0,1
7af5a07a9e5fd710ee3160289493ef4cbac904dc7569adbed338a075db483841,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680.0,3790.0,1.608,931.0,18,1.571,0.152,0
a49a56c92ac866fefb934c9f4923df1afbbf296099efadbffed1834cad34dee1,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560.0,932.0,0.573,1126.0,23,0.353,0.626,0
f4dbf8a9a6618c368a03920f630f510e879137521e09a274dd207a1f3e2fc9aa,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0.0,12217.0,1.075,1110.0,21,0.75,0.0,0
c424a9ea790ab6c4ca074329f23510dfa41da015256c0956681f8386e81b7e04,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669.0,6099.0,0.797,1051.0,22,0.833,0.215,0
bd44ccb4e049e7b3f7d38175f4669cd220f220400ffeaab76142eac9b6a94dd1,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374.0,13410.0,0.921,1197.0,23,1.3,0.093,0
a00c5315977d86ae1a782a1b88b0648c6d35154c5f79c046862c0629f208ab0b,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010.0,9205.0,0.843,1904.0,40,1.0,0.099,0
1f9b132d14854f58e2edafa8748e4517515692e56ff4a77d5338a36a32cd5dee,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0.0,10100.0,0.525,1052.0,18,1.571,0.0,0
90586105f13a0a1c4c99fdbbc7561ef9199db24d840724d27efe83e25a66265a,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362.0,3423.0,0.739,1045.0,38,0.9,0.285,0
14e77cc07e0f73f0a170bc387621f69b95b5b611e59240b58875645302e39b8b,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811.0,942.0,0.977,1038.0,25,2.571,0.658,0
4f58fc21968659663f66b7f9f25237f202608ec87e766de02e3128419fdee093,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690.0,761.0,1.323,1596.0,26,1.6,0.69,0
1f48656db1a16f575f3201a1d0c0f88d840c27afbe775cb7018d84a73499ae1e,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517.0,6406.0,1.726,1589.0,24,1.667,0.282,0
dd5ca7fe30e72f249c1e3e4f5503b37c33ae2dfc376ac618ddb8bdaa3e84856d,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490.0,1160.0,1.75,1411.0,28,1.0,0.562,0
97a06faf77e6de527a4afb3d97e2ab632076204f2554419993d62b6acbd0e40f,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696.0,10859.0,0.519,1291.0,24,0.714,0.135,0
fa15fdb3bbeb4c7ca62bb2df7c03e8f160a770bcd572d881cb766968d89469e5,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914.0,1606.0,0.51,1407.0,43,0.483,0.544,0
f2d9b74df95381cd3cf25a6c424ad8e179d327dd0bf74ee137733897b8474b66,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298.0,737.0,1.724,1877.0,37,1.176,0.757,0
caa6d3c5677fdc0ad80e2fe1f11a20f7217c9bd7228e85f3240f71fc00ded4cb,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0.0,15433.0,0.865,966.0,22,1.2,0.0,0
78e6f6dd6658ea8b4f35e224d7e6b8c3b5e26e86046630aa6442c8c93b9c782a,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886.0,2786.0,1.32,1464.0,28,0.556,0.241,0
85347f6a69555a93dd08161b5e0438849fc5b43812e9ea1770173c793d0aa061,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605.0,7277.0,1.052,704.0,16,0.143,0.077,1
595827600d23331b09127f0d24a17e7d489ace2c862eec5b7840cc684999d430,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578.0,31848.0,1.042,1109.0,28,0.474,0.018,0
2af42f77c565d8b7bad07d3864a71746710535e95731a5b4e5f806161d6c5bbd,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204.0,4001.0,0.803,1347.0,28,0.556,0.355,0
c095aaf861ff4e1757949d34fc6c00c7eee20f4b88d6c6ad2a3db569194b1f53,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517.0,14787.0,1.449,1756.0,33,1.2,0.145,0
25143b8f84dfd7b6203bae0ed4756faca7b7cd4aa488ed3077214b23e7c493e7,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0.0,3906.0,1.214,1756.0,32,1.0,0.0,0
28d688427f4a4e6fe5a2d34d006412f275a40e3cb86fedf5031e114a86e1313e,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055.0,7775.0,0.977,1042.0,23,0.917,0.209,0
2f07999eb647b2610c5951e814965954865296f2d23100d0670c496653eb8b44,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0.0,34516.0,1.621,1444.0,28,1.333,0.0,0
f2d2ed8f108f39d0e21558aea2e2201ab45e31611e10d7c0ff7d8fac0eac42ec,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430.0,853.0,2.316,1741.0,27,0.588,0.626,0
b92033c573f23c031a1cf3499137aa006888f487a99185906ca4e6a13cf23d84,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020.0,528.0,2.357,1719.0,27,1.7,0.793,0
5f87da4e71b3b1f2c3fd71b132fa27fc89863835a9605209474d9695cacb470e,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435.0,18023.0,0.787,1217.0,27,0.8,0.074,0
f393fa208270a5c05bda7a75fbd970c61c73352b737646dc605ed02ecb68bce0,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227.0,3518.0,0.624,1140.0,40,0.6,0.259,0
cd68dbbe5d00264d130f89c0e13047b77d9102f4cb421e5befed479790338ed7,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549.0,1073.0,1.321,1878.0,30,1.143,0.591,0
044d056918afdb7010ac31d47af110e93a52632aac5bddb0fc58f4e81a23e692,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808.0,630.3,0.997,705.0,19,0.9,0.562,1
580b9c03ef254ddde0417bb5cf68d6debdc626b549096c5c5afb2adb7e11d619,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179.0,992.0,1.224,1946.0,38,1.923,0.687,0
7009c634dc995cf2e8b9f0278c157cd0e526f6f8cc91fc78bc6a47482bc2da9d,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517.0,17246.0,0.664,1414.0,35,0.25,0.127,0
21362c7e5e50977dee0b893737298fe79b707a5ff8de7a48b4ae4e333dde0d43,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0.0,15769.0,1.041,602.0,15,0.364,0.0,1
6d62ba0c68c1ef77c98860f73123bce2c29305c14851a3d7b61c1ea1bd008cbd,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200.0,1098.0,0.678,1052.0,32,0.6,0.667,0
bbf215ce9b45a2e38205f2eaa70afc2af8b74706bcc21f5a74925f6fea42767b,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363.0,439.0,0.75,1295.0,40,0.6,0.843,0
021be1d40277806d16c49347110127e76be03d6da512a94338ea69dbe8973c9a,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880.0,2578.0,1.107,1424.0,29,1.417,0.422,0
f92939b9e2f9d2d6091006fc04a60f5c140952e788bf138b292ce4cc250c9b73,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978.0,5295.0,2.275,1359.0,25,1.083,0.156,0
acb8b44e3249547d99e3ccb76e5e426b9b8789b44367319a5310d4dc119074b0,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753.0,1583.0,0.69,1168.0,27,1.25,0.525,0
97c08f24e8e762fb591c1d1bacf66f3c5913a7cd047b9bb1edf8e450cdef85c3,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016.0,1420.0,0.901,1097.0,33,0.833,0.587,0
d0094cb85f58dd52b9d42e8fb058c9fabc01cff3f5c87c972c19fb0af08017fa,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0.0,34516.0,0.763,691.0,15,0.5,0.0,1
be9044ad0e911a010e6bffbb734d2a7e5779e58c02e897e97a96b0c01ffa8606,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251.0,4675.0,0.944,1316.0,28,1.154,0.211,0
9f594c94f6f8d73822ed7293619c1ceb79f53d9466e6c20a762e0f0466a2d99c,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102.0,21855.0,0.997,1276.0,26,0.733,0.088,0
d92b324d289d92abd3c326d0e79b22e1724cf05c5214ec9387f188fe8b251c7a,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634.0,13100.0,0.989,1289.0,23,0.917,0.111,0
